cluster_id,csm_dimension,labels_in_proposed_family,label_count,modifier_flags_present,source_candidate_ids,reviewer1_decision,reviewer1_canonical_labels,reviewer2_decision,reviewer2_canonical_labels,consensus_decision,consensus_canonical_labels,split_out_labels,merge_rule_invoked,review_notes
KCL00026,Coping and Management,"Unspecified analgesic medication use
Unspecified analgesic use
Unspecified medication use
Unspecified oral analgesic
Unspecified oral analgesic medication use
Unspecified oral analgesic use
Unspecified oral medication use",7,treatment;uncertainty,KC000077;KC000152;KC000159;KC000204;KC000286;KC000405,merge_all,Unspecified analgesic medication use,merge_all,Unspecified oral analgesic medication use,merge_all,Unspecified analgesic medication use,,synonym_no_added_meaning,
KCL00010,Coping and Management,"Dietary modification
Dietary modification due to dental pain
Dietary modification due to pain
Dietary modification for dental pain
Dietary modification for pain
Dietary modification for pain relief
Dietary modification to avoid pain",7,consequence,KC000133;KC000156;KC000193;KC000217;KC000311;KC000352;KC000367;KC000540;KC000571,merge_all,Dietary modification,merge_all,Dietary modification,merge_all,Dietary modification,,,
KCL00007,Coping and Management,"Care seeking
Dental care seeking
Dental care seeking due to pain
Dental care seeking for pain
Seeking dental care",5,,KC000034;KC000318;KC000411;KC000464,merge_all,Dental care seeking,merge_all,Seeking dental care,merge_all,Dental care seeking,,,
KCL00012,Coping and Management,"Dietary restriction
Dietary restriction due to dental pain
Dietary restriction due to fear
Dietary restriction due to pain
Dietary restriction for dental pain",5,consequence,KC000134;KC000218;KC000353;KC000485,merge_all,Dietary restriction,merge_all,Dietary restriction,merge_all,Dietary restriction,,,
KCL00016,Coping and Management,"Ineffective analgesic
Ineffective analgesic medication
Ineffective analgesic use
Ineffective analgesics",4,treatment,KC000101;KC000447;KC000560,merge_all,Ineffective analgesic,merge_all,Ineffective analgesic,merge_all,Ineffective analgesic,,,
KCL00001,Coping and Management,"Access barrier
Access barrier to dental care
Barrier to dental care access
Dental care access barrier",4,,KC000003;KC000004;KC000022;KC000583,merge_all,Access barrier,merge_all,Dental care access barrier,merge_all,Access barrier,,,
KCL00020,Coping and Management,"Non-steroidal anti-inflammatory drug use
Use of non-steroidal anti-inflammatory drug
Use of non-steroidal anti-inflammatory drugs
Use of non-steroidal anti-inflammatory drugs (NSAIDs)",4,,KC000052;KC000236;KC000519,merge_all,NSAID use,merge_all,NSAID use,merge_all,NSAID use,,,
KCL00003,Coping and Management,"Antibiotic and analgesic prescription
Antibiotic and NSAID prescription
Antibiotic prescription
Antibiotic prescription decision",4,treatment,KC000383;KC000500;KC000575,split,"Antibiotic prescription = Antibiotic prescription + Antibiotic prescription decision
Analgesic prescription = Antibiotic and analgesic prescription
Non-steroidal anti-inflammatory drug prescription = Antibiotic and NSAID prescription",merge_all,Antibiotic prescription,split,"Antibiotic prescription = Antibiotic prescription + Antibiotic prescription decision
Analgesic prescription = Antibiotic and analgesic prescription
Non-steroidal anti-inflammatory drug prescription = Antibiotic and NSAID prescription",,,
KCL00023,Coping and Management,"Over-the-counter analgesic efficacy
Over-the-counter analgesic use
Over-the-counter medication use
Over-the-counter topical analgesic use",4,treatment,KC000243;KC000553;KC000569,split,"Over-the-counter medication use = Over-the-counter medication use
Over-the-counter analgesic use = Over-the-counter analgesic use + Over-the-counter topical analgesic use + Over-the-counter analgesic efficacy",merge_all,Over-the-counter medication use,split,"Over-the-counter medication use = Over-the-counter medication use
Over-the-counter analgesic use = Over-the-counter analgesic use + Over-the-counter topical analgesic use + Over-the-counter analgesic efficacy",,,
KCL00005,Coping and Management,"Avoidance of dental care
Avoidance of seeking dental care
Dental care avoidance",3,,KC000018;KC000594,merge_all,Dental care avoidance,merge_all,Dental care avoidance,merge_all,Dental care avoidance,,,
